x,y,z
-0.001999 ,  -0.135954 ,  1.030648
-0.001000 ,  -0.134954 ,  1.036646
0.001000 ,  -0.133954 ,  1.040645
-0.007997 ,  -0.123958 ,  1.054640
0.002999 ,  -0.128956 ,  1.053640
0.005998 ,  -0.131955 ,  1.047642
-0.025991 ,  -0.132955 ,  1.041644
0.001000 ,  -0.133954 ,  1.025650
0.002999 ,  -0.134954 ,  1.033647
0.005998 ,  -0.126957 ,  0.991661
0.001999 ,  -0.131955 ,  1.024650
0.000000 ,  -0.130955 ,  1.037646
-0.001999 ,  -0.131955 ,  1.043643
0.001999 ,  -0.125957 ,  1.091627
0.003999 ,  -0.128956 ,  1.068635
0.003999 ,  -0.130955 ,  1.050641
0.008997 ,  -0.133954 ,  1.016653
0.001999 ,  -0.130955 ,  1.026649
0.001000 ,  -0.130955 ,  1.039645
-0.004998 ,  -0.123958 ,  1.074633
0.014995 ,  -0.132955 ,  1.055639
0.007997 ,  -0.134954 ,  1.045643
0.006998 ,  -0.124957 ,  1.058638
0.000000 ,  -0.123958 ,  1.044643
0.003999 ,  -0.126957 ,  1.043643
-0.001999 ,  -0.121958 ,  1.052640
-0.001000 ,  -0.132955 ,  1.043643
0.001999 ,  -0.131955 ,  1.045643
0.003999 ,  -0.130955 ,  1.043643
0.002999 ,  -0.132955 ,  1.012654
0.002999 ,  -0.134954 ,  1.031647
0.003999 ,  -0.136953 ,  1.031647
0.027990 ,  -0.141952 ,  1.015653
0.007997 ,  -0.136953 ,  1.029648
0.006998 ,  -0.136953 ,  1.035646
0.034988 ,  -0.132955 ,  1.070634
0.014995 ,  -0.130955 ,  1.060638
0.007997 ,  -0.128956 ,  1.051641
0.013995 ,  -0.122958 ,  1.053640
0.007997 ,  -0.126957 ,  1.035646
0.006998 ,  -0.129956 ,  1.041644
-0.013995 ,  -0.125957 ,  1.064636
-0.003999 ,  -0.133954 ,  1.039645
0.002999 ,  -0.132955 ,  1.042644
0.008997 ,  -0.126957 ,  1.041644
0.012996 ,  -0.129956 ,  1.049641
0.005998 ,  -0.129956 ,  1.043643
0.004998 ,  -0.133954 ,  1.041644
0.011996 ,  -0.131955 ,  1.075632
0.006998 ,  -0.130955 ,  1.060638
0.006998 ,  -0.131955 ,  1.054640
0.010996 ,  -0.129956 ,  1.067635
0.011996 ,  -0.127956 ,  1.055639
0.005998 ,  -0.129956 ,  1.051641
0.021992 ,  -0.126957 ,  1.049641
0.010996 ,  -0.127956 ,  1.041644
0.007997 ,  -0.127956 ,  1.041644
-0.009997 ,  -0.131955 ,  1.058638
0.000000 ,  -0.132955 ,  1.050641
0.001000 ,  -0.130955 ,  1.049641
-0.002999 ,  -0.133954 ,  1.045643
-0.015995 ,  -0.128956 ,  1.037646
-0.005998 ,  -0.129956 ,  1.039645
0.001000 ,  -0.125957 ,  1.044643
-0.001000 ,  -0.131955 ,  1.040645
0.001999 ,  -0.131955 ,  1.048642
0.001999 ,  -0.132955 ,  1.044643
-0.003999 ,  -0.121958 ,  1.045643
0.003999 ,  -0.127956 ,  1.044643
0.001999 ,  -0.130955 ,  1.043643
0.000000 ,  -0.144950 ,  1.034646
0.001999 ,  -0.138953 ,  1.049641
0.001999 ,  -0.137953 ,  1.046642
0.025991 ,  -0.136953 ,  1.036646
0.018994 ,  -0.131955 ,  1.049641
0.011996 ,  -0.133954 ,  1.047642
0.007997 ,  -0.137953 ,  1.045643
0.012996 ,  -0.130955 ,  1.037646
0.009997 ,  -0.131955 ,  1.038645
0.004998 ,  -0.133954 ,  1.044643
0.009997 ,  -0.131955 ,  1.082630
0.005998 ,  -0.130955 ,  1.065636
0.006998 ,  -0.129956 ,  1.051641
0.026991 ,  -0.123958 ,  1.001658
0.015995 ,  -0.131955 ,  1.020651
0.007997 ,  -0.134954 ,  1.032647
-0.005998 ,  -0.130955 ,  1.028649
0.001999 ,  -0.135954 ,  1.028649
-0.001000 ,  -0.134954 ,  1.034646
-0.007997 ,  -0.132955 ,  1.058638
0.005998 ,  -0.134954 ,  1.053640
0.005998 ,  -0.133954 ,  1.047642
0.011996 ,  -0.139952 ,  1.035646
0.016994 ,  -0.131955 ,  1.052640
0.011996 ,  -0.132955 ,  1.048642
0.006998 ,  -0.132955 ,  1.046642
0.002999 ,  -0.125957 ,  1.051641
0.001999 ,  -0.127956 ,  1.044643
0.006998 ,  -0.130955 ,  1.042644
0.013995 ,  -0.139952 ,  1.033647
0.001999 ,  -0.133954 ,  1.036646
0.001000 ,  -0.135954 ,  1.044643
-0.020993 ,  -0.138953 ,  1.011654
-0.003999 ,  -0.134954 ,  1.034646
0.004998 ,  -0.134954 ,  1.035646
-0.013995 ,  -0.134954 ,  1.020651
-0.007997 ,  -0.138953 ,  1.027649
0.000000 ,  -0.135954 ,  1.033647
0.004998 ,  -0.137953 ,  1.040645
0.012996 ,  -0.131955 ,  1.020651
0.005998 ,  -0.133954 ,  1.028649
0.004998 ,  -0.133954 ,  1.034646
0.011996 ,  -0.125957 ,  1.058638
0.009997 ,  -0.128956 ,  1.054640
0.008997 ,  -0.129956 ,  1.049641
0.008997 ,  -0.135954 ,  1.056639
0.014995 ,  -0.133954 ,  1.052640
0.003999 ,  -0.132955 ,  1.048642
0.007997 ,  -0.137953 ,  1.006656
0.016994 ,  -0.132955 ,  1.045643
0.009997 ,  -0.129956 ,  1.045643
0.003999 ,  -0.131955 ,  1.004657
0.012996 ,  -0.132955 ,  1.033647
0.008997 ,  -0.133954 ,  1.038645
-0.004998 ,  -0.127956 ,  1.021651
0.006998 ,  -0.129956 ,  1.062637
0.004998 ,  -0.131955 ,  1.053640
0.005998 ,  -0.131955 ,  1.047642
0.005998 ,  -0.137953 ,  1.058638
0.003999 ,  -0.135954 ,  1.052640
0.002999 ,  -0.130955 ,  1.051641
0.002999 ,  -0.132955 ,  1.048642
-0.002999 ,  -0.127956 ,  1.049641
0.001000 ,  -0.128956 ,  1.044643
-0.009997 ,  -0.139952 ,  1.025650
0.001000 ,  -0.132955 ,  1.041644
0.002999 ,  -0.134954 ,  1.039645
-0.004998 ,  -0.140952 ,  1.011654
0.001000 ,  -0.135954 ,  1.059638
0.003999 ,  -0.136953 ,  1.054640
0.026991 ,  -0.138953 ,  1.026649
0.016994 ,  -0.134954 ,  1.064636
0.010996 ,  -0.133954 ,  1.054640
0.007997 ,  -0.129956 ,  1.048642
0.014995 ,  -0.130955 ,  1.058638
0.010996 ,  -0.131955 ,  1.052640
0.008997 ,  -0.133954 ,  1.046642
0.013995 ,  -0.129956 ,  1.054640
0.007997 ,  -0.133954 ,  1.047642
0.008997 ,  -0.132955 ,  1.045643
0.007997 ,  -0.125957 ,  1.070634
0.001999 ,  -0.130955 ,  1.058638
0.002999 ,  -0.132955 ,  1.054640
0.016994 ,  -0.127956 ,  1.042644
0.009997 ,  -0.126957 ,  1.036646
0.005998 ,  -0.126957 ,  1.040645
0.006998 ,  -0.118959 ,  1.065636
0.001999 ,  -0.121958 ,  1.040645
0.003999 ,  -0.127956 ,  1.043643
0.004998 ,  -0.129956 ,  1.043643
0.004998 ,  -0.134954 ,  1.039645
0.005998 ,  -0.133954 ,  1.043643
0.003999 ,  -0.125957 ,  1.044643
0.010996 ,  -0.128956 ,  1.064636
0.005998 ,  -0.129956 ,  1.055639
0.005998 ,  -0.132955 ,  1.048642
0.001000 ,  -0.118959 ,  1.047642
-0.010996 ,  -0.133954 ,  1.035646
0.000000 ,  -0.130955 ,  1.039645
0.001000 ,  -0.121958 ,  1.051641
0.012996 ,  -0.124957 ,  1.045643
0.010996 ,  -0.127956 ,  1.041644
0.010996 ,  -0.130955 ,  1.043643
0.008997 ,  -0.124957 ,  1.059638
0.007997 ,  -0.129956 ,  1.052640
0.006998 ,  -0.132955 ,  1.044643
0.010996 ,  -0.127956 ,  1.061637
0.006998 ,  -0.133954 ,  1.048642
0.008997 ,  -0.133954 ,  1.046642
0.017994 ,  -0.128956 ,  1.049641
-0.004998 ,  -0.132955 ,  1.045643
0.003999 ,  -0.131955 ,  1.046642
-0.008997 ,  -0.142951 ,  1.012654
0.027990 ,  -0.133954 ,  1.027649
0.010996 ,  -0.131955 ,  1.035646
0.013995 ,  -0.126957 ,  1.078631
0.002999 ,  -0.136953 ,  1.036646
0.003999 ,  -0.133954 ,  1.041644
0.001000 ,  -0.141952 ,  1.036646
-0.003999 ,  -0.134954 ,  1.031647
0.000000 ,  -0.130955 ,  1.038645
0.003999 ,  -0.133954 ,  1.046642
0.001000 ,  -0.131955 ,  1.056639
0.003999 ,  -0.132955 ,  1.052640
0.004998 ,  -0.129956 ,  1.050641
0.002999 ,  -0.135954 ,  1.039645
0.000000 ,  -0.133954 ,  1.042644
0.000000 ,  -0.131955 ,  1.042644
0.002999 ,  -0.129956 ,  1.113620
0.004998 ,  -0.136953 ,  1.048642
0.006998 ,  -0.133954 ,  1.045643
0.001999 ,  -0.137953 ,  1.060638
0.005998 ,  -0.135954 ,  1.037646
0.004998 ,  -0.134954 ,  1.040645
-0.001000 ,  -0.130955 ,  1.037646
-0.002999 ,  -0.133954 ,  1.023650
0.001000 ,  -0.132955 ,  1.034646
0.001000 ,  -0.131955 ,  1.039645
0.002999 ,  -0.126957 ,  1.054640
0.006998 ,  -0.129956 ,  1.053640
0.004998 ,  -0.130955 ,  1.047642
-0.001999 ,  -0.135954 ,  1.042644
0.004998 ,  -0.128956 ,  1.041644
0.005998 ,  -0.129956 ,  1.043643
-0.007997 ,  -0.149949 ,  1.033647
-0.015995 ,  -0.139952 ,  1.046642
-0.004998 ,  -0.140952 ,  1.043643
0.009997 ,  -0.131955 ,  1.071634
0.006998 ,  -0.130955 ,  1.049641
0.005998 ,  -0.128956 ,  1.046642
-0.001999 ,  -0.126957 ,  1.064636
0.003999 ,  -0.130955 ,  1.041644
0.003999 ,  -0.130955 ,  1.040645
0.004998 ,  -0.132955 ,  1.045643
-0.009997 ,  -0.133954 ,  1.035646
-0.002999 ,  -0.132955 ,  1.041644
0.000000 ,  -0.133954 ,  1.041644
0.000000 ,  -0.137953 ,  1.039645
0.000000 ,  -0.137953 ,  1.041644
0.004998 ,  -0.135954 ,  1.046642
0.011996 ,  -0.127956 ,  1.033647
0.010996 ,  -0.132955 ,  1.041644
0.004998 ,  -0.133954 ,  1.040645
0.007997 ,  -0.143951 ,  1.035646
0.012996 ,  -0.133954 ,  1.050641
0.007997 ,  -0.134954 ,  1.049641
0.003999 ,  -0.134954 ,  1.052640
0.016994 ,  -0.131955 ,  1.045643
0.009997 ,  -0.130955 ,  1.045643
0.009997 ,  -0.129956 ,  1.041644
0.016994 ,  -0.124957 ,  1.091627
0.010996 ,  -0.122958 ,  1.067635
0.006998 ,  -0.126957 ,  1.053640
-0.009997 ,  -0.133954 ,  1.043643
0.000000 ,  -0.124957 ,  1.044643
0.002999 ,  -0.129956 ,  1.040645
-0.013995 ,  -0.140952 ,  1.017652
-0.005998 ,  -0.133954 ,  1.026649
0.000000 ,  -0.132955 ,  1.035646
0.025991 ,  -0.129956 ,  1.020651
0.012996 ,  -0.127956 ,  1.037646
0.007997 ,  -0.132955 ,  1.039645
0.001999 ,  -0.135954 ,  1.040645
0.009997 ,  -0.135954 ,  1.009655
